size,sort_type,input_type,micro_time,comparisons
43,merge,ascending,19.94,129
43,hybrid,ascending,0,42
43,insertion,descending,0,945
43,merge,descending,0,108
43,hybrid,descending,0,945
43,insertion,random,0,501.62
43,merge,random,0,182.22
43,hybrid,random,0,494.52
44,insertion,ascending,0,43
44,merge,ascending,0,132
44,hybrid,ascending,0,43
44,insertion,descending,19.92,989
44,merge,descending,0,112
44,hybrid,descending,0,989
44,insertion,random,19.94,515.42
44,merge,random,0,187.22
44,hybrid,random,0,520.94
45,insertion,ascending,0,44
45,merge,ascending,0,136
45,hybrid,ascending,0,44
45,insertion,descending,0,1034
45,merge,descending,0,115
45,hybrid,descending,0,1034
45,insertion,random,0,545.88
45,merge,random,19.84,192.86
45,hybrid,random,20.06,521.56
46,insertion,ascending,0,45
46,merge,ascending,0,139
46,hybrid,ascending,0,45
46,insertion,descending,0,1080
46,merge,descending,0,119
46,hybrid,descending,0,1080
46,insertion,random,0,557.06
46,merge,random,0,198
46,hybrid,random,19.92,552.2
47,insertion,ascending,0,46
47,merge,ascending,19.34,142
47,hybrid,ascending,0,46
47,insertion,descending,0,1127
47,merge,descending,19.94,123
47,hybrid,descending,0,1127
47,insertion,random,0,598.96
47,merge,random,0,203.48
47,hybrid,random,0,599.14
48,insertion,ascending,0,47
48,merge,ascending,21.12,144
48,hybrid,ascending,0,47
48,insertion,descending,0,1175
48,merge,descending,0,128
48,hybrid,descending,0,1175
48,insertion,random,0,602.48
48,merge,random,0,210.34
48,hybrid,random,0,611.08
49,insertion,ascending,0,48
49,merge,ascending,0,149
49,hybrid,ascending,0,48
49,insertion,descending,0,1224
49,merge,descending,0,130
49,hybrid,descending,0,1224
49,insertion,random,0,628.6
49,merge,random,39.34,217.18
49,hybrid,random,0,633.72
50,insertion,ascending,0,49
50,merge,ascending,0,153
50,hybrid,ascending,0,49
50,insertion,descending,0,1274
50,merge,descending,19.96,133
50,hybrid,descending,19.92,1274
50,insertion,random,0,659.8
50,merge,random,0,221.38
50,hybrid,random,0,669.56
51,insertion,ascending,0,50
51,merge,ascending,19.96,157
51,hybrid,ascending,0,50
51,insertion,descending,0,1325
51,merge,descending,0,136
51,hybrid,descending,0,1325
51,insertion,random,19.92,697.66
51,merge,random,0,227.84
51,hybrid,random,0,680.4
52,insertion,ascending,0,51
52,merge,ascending,0,160
52,hybrid,ascending,0,51
52,insertion,descending,0,1377
52,merge,descending,0,140
52,hybrid,descending,0,1377
52,insertion,random,0,714.22
52,merge,random,19.92,233.1
52,hybrid,random,0,713.38
53,insertion,ascending,0,52
53,merge,ascending,0,164
53,hybrid,ascending,0,52
53,insertion,descending,0,1430
53,merge,descending,19.4,143
53,hybrid,descending,0,1430
53,insertion,random,0,736.52
53,merge,random,19.82,239.34
53,hybrid,random,0,733.34
54,insertion,ascending,0,53
54,merge,ascending,0,167
54,hybrid,ascending,0,53
54,insertion,descending,0,1484
54,merge,descending,0,147
54,hybrid,descending,0,1484
54,insertion,random,0,748.4
54,merge,random,0,245.46
54,hybrid,random,0,766.98
55,insertion,ascending,0,54
55,merge,ascending,0,170
55,hybrid,ascending,0,54
55,insertion,descending,0,1539
55,merge,descending,0,151
55,hybrid,descending,19.88,1539
55,insertion,random,0,795.92
55,merge,random,19.98,250.94
55,hybrid,random,0,783.18
56,insertion,ascending,0,55
56,merge,ascending,0,172
56,hybrid,ascending,0,55
56,insertion,descending,0,1595
56,merge,descending,0,156
56,hybrid,descending,20.52,1595
56,insertion,random,0,824.74
56,merge,random,19.66,257.72
56,hybrid,random,0,818.6
57,insertion,ascending,0,56
57,merge,ascending,0,176
57,hybrid,ascending,0,56
57,insertion,descending,19.36,1652
57,merge,descending,0,159
57,hybrid,descending,0,1652
57,insertion,random,0,851.4
57,merge,random,0,263.36
57,hybrid,random,0,855.54
58,insertion,ascending,0,57
58,merge,ascending,0,179
58,hybrid,ascending,0,57
58,insertion,descending,0,1710
58,merge,descending,0,163
58,hybrid,descending,0,1710
58,insertion,random,0,889.12
58,merge,random,0,269.82
58,hybrid,random,19.98,879.66
59,insertion,ascending,0,58
59,merge,ascending,0,182
59,hybrid,ascending,0,58
59,insertion,descending,19.9,1769
59,merge,descending,0,167
59,hybrid,descending,0,1769
59,insertion,random,0,899.7
59,merge,random,19.94,276.04
59,hybrid,random,0,918.62
60,insertion,ascending,0,59
60,merge,ascending,19.92,184
60,hybrid,ascending,0,59
60,insertion,descending,0,1829
60,merge,descending,0,172
60,hybrid,descending,0,1829
60,insertion,random,0,935.68
60,merge,random,19.96,280.98
60,hybrid,random,0,931.92
61,insertion,ascending,0,60
61,merge,ascending,0,187
61,hybrid,ascending,0,60
61,insertion,descending,19.94,1890
61,merge,descending,0,176
61,hybrid,descending,0,1890
61,insertion,random,0,953.46
61,merge,random,19.96,287.58
61,hybrid,random,0,958.76
62,insertion,ascending,0,61
62,merge,ascending,0,189
62,hybrid,ascending,0,61
62,insertion,descending,0,1952
62,merge,descending,19.96,181
62,hybrid,descending,19.92,1952
62,insertion,random,0,1010.34
62,merge,random,0,292.62
62,hybrid,random,0,1013.36
63,insertion,ascending,0,62
63,merge,ascending,0,191
63,hybrid,ascending,0,62
63,insertion,descending,0,2015
63,merge,descending,0,186
63,hybrid,descending,19.2,2015
63,insertion,random,0,1059.64
63,merge,random,0,298.4
63,hybrid,random,0,1024.7
64,insertion,ascending,0,63
64,merge,ascending,20.84,192
64,hybrid,ascending,0,63
64,insertion,descending,0,2079
64,merge,descending,0,192
64,hybrid,descending,0,2079
64,insertion,random,0,1076.76
64,merge,random,0,304.96
64,hybrid,random,0,1065.34
65,insertion,ascending,0,64
65,merge,ascending,0,199
65,hybrid,ascending,0,64
65,insertion,descending,19.94,2144
65,merge,descending,0,193
65,hybrid,descending,0,2144
65,insertion,random,0,1120.88
65,merge,random,19.84,311.78
65,hybrid,random,0,1132.66
66,insertion,ascending,0,65
66,merge,ascending,0,205
66,hybrid,ascending,0,65
66,insertion,descending,39.9,2210
66,merge,descending,0,195
66,hybrid,descending,0,2210
66,insertion,random,0,1154.96
66,merge,random,0,318.98
66,hybrid,random,0,1126.54
67,insertion,ascending,0,66
67,merge,ascending,0,211
67,hybrid,ascending,0,66
67,insertion,descending,19.92,2277
67,merge,descending,0,197
67,hybrid,descending,0,2277
67,insertion,random,0,1160.78
67,merge,random,0,323.74
67,hybrid,random,19.92,1185.32
68,insertion,ascending,0,67
68,merge,ascending,19.98,216
68,hybrid,ascending,0,67
68,insertion,descending,0,2345
68,merge,descending,0,200
68,hybrid,descending,19.94,2345
68,insertion,random,0,1187.62
68,merge,random,0,329.88
68,hybrid,random,0,1209.86
69,insertion,ascending,0,68
69,merge,ascending,0,222
69,hybrid,ascending,0,68
69,insertion,descending,0,2414
69,merge,descending,19.34,202
69,hybrid,descending,19.94,2414
69,insertion,random,0,1224.88
69,merge,random,0,336.04
69,hybrid,random,0,1208.8
70,insertion,ascending,0,69
70,merge,ascending,0,227
70,hybrid,ascending,0,69
70,insertion,descending,0,2484
70,merge,descending,0,205
70,hybrid,descending,0,2484
70,insertion,random,20.36,1291.8
70,merge,random,19.38,343.14
70,hybrid,random,19.92,1287.3
71,insertion,ascending,0,70
71,merge,ascending,39.82,232
71,hybrid,ascending,0,70
71,insertion,descending,0,2555
71,merge,descending,0,208
71,hybrid,descending,0,2555
71,insertion,random,0,1310.86
71,merge,random,0,349.74
71,hybrid,random,0,1306.36
72,insertion,ascending,0,71
72,merge,ascending,0,236
72,hybrid,ascending,0,71
72,insertion,descending,0,2627
72,merge,descending,39.92,212
72,hybrid,descending,0,2627
72,insertion,random,19.92,1367.84
72,merge,random,0,356.48
72,hybrid,random,0,1345.24
73,insertion,ascending,0,72
73,merge,ascending,0,242
73,hybrid,ascending,0,72
73,insertion,descending,0,2700
73,merge,descending,0,214
73,hybrid,descending,39.9,2700
73,insertion,random,0,1389.54
73,merge,random,0,362.6
73,hybrid,random,19.94,1396.86
74,insertion,ascending,0,73
74,merge,ascending,0,247
74,hybrid,ascending,19.94,73
74,insertion,descending,0,2774
74,merge,descending,0,217
74,hybrid,descending,0,2774
74,insertion,random,0,1392.8
74,merge,random,19.92,369.64
74,hybrid,random,0,1425.72
75,insertion,ascending,0,74
75,merge,ascending,0,252
75,hybrid,ascending,0,74
75,insertion,descending,0,2849
75,merge,descending,19.32,220
75,hybrid,descending,19.96,2849
75,insertion,random,0,1461.78
75,merge,random,0,375.4
75,hybrid,random,0,1461.42
76,insertion,ascending,0,75
76,merge,ascending,0,256
76,hybrid,ascending,0,75
76,insertion,descending,19.88,2925
76,merge,descending,0,224
76,hybrid,descending,0,2925
76,insertion,random,0,1504.58
76,merge,random,19.92,383.1
76,hybrid,random,19.54,1521.9
77,insertion,ascending,0,76
77,merge,ascending,0,261
77,hybrid,ascending,0,76
77,insertion,descending,19.94,3002
77,merge,descending,0,227
77,hybrid,descending,19.96,3002
77,insertion,random,0,1539.98
77,merge,random,0,388.92
77,hybrid,random,19.92,1523.88
78,insertion,ascending,0,77
78,merge,ascending,0,265
78,hybrid,ascending,0,77
78,insertion,descending,39.88,3080
78,merge,descending,19.94,231
78,hybrid,descending,0,3080
78,insertion,random,0,1584.02
78,merge,random,0,395.46
78,hybrid,random,0,1586
79,insertion,ascending,0,78
79,merge,ascending,0,269
79,hybrid,ascending,0,78
79,insertion,descending,19.9,3159
79,merge,descending,0,235
79,hybrid,descending,19.92,3159
79,insertion,random,0,1637.48
79,merge,random,0,401.8
79,hybrid,random,0,1596.14
80,insertion,ascending,0,79
80,merge,ascending,0,272
80,hybrid,ascending,0,79
80,insertion,descending,0,3239
80,merge,descending,39.28,240
80,hybrid,descending,0,3239
80,insertion,random,0,1650.16
80,merge,random,21.02,406.78
80,hybrid,random,19.96,1648.3
81,insertion,ascending,0,80
81,merge,ascending,0,278
81,hybrid,ascending,0,80
81,insertion,descending,20.1,3320
81,merge,descending,0,242
81,hybrid,descending,0,3320
81,insertion,random,0,1686.82
81,merge,random,19.32,414.4
81,hybrid,random,19.88,1698.8
82,insertion,ascending,0,81
82,merge,ascending,0,283
82,hybrid,ascending,0,81
82,insertion,descending,0,3402
82,merge,descending,19.96,245
82,hybrid,descending,39.92,3402
82,insertion,random,0,1690.44
82,merge,random,0,421.06
82,hybrid,random,0,1756
83,insertion,ascending,0,82
83,merge,ascending,19.88,288
83,hybrid,ascending,0,82
83,insertion,descending,0,3485
83,merge,descending,0,248
83,hybrid,descending,19.94,3485
83,insertion,random,0,1789.86
83,merge,random,19.92,428.72
83,hybrid,random,0,1774.42
84,insertion,ascending,0,83
84,merge,ascending,0,292
84,hybrid,ascending,0,83
84,insertion,descending,19.92,3569
84,merge,descending,19.94,252
84,hybrid,descending,0,3569
84,insertion,random,0,1843.32
84,merge,random,39.86,435.56
84,hybrid,random,0,1818.64
85,insertion,ascending,0,84
85,merge,ascending,0,297
85,hybrid,ascending,0,84
85,insertion,descending,0,3654
85,merge,descending,0,255
85,hybrid,descending,0,3654
85,insertion,random,39.66,1850.82
85,merge,random,0,440.72
85,hybrid,random,0,1839.3
86,insertion,ascending,0,85
86,merge,ascending,19.94,301
86,hybrid,ascending,0,85
86,insertion,descending,0,3740
86,merge,descending,0,259
86,hybrid,descending,19.94,3740
86,insertion,random,19.94,1908.5
86,merge,random,0,446.28
86,hybrid,random,19.6,1929.44
87,insertion,ascending,0,86
87,merge,ascending,19.94,305
87,hybrid,ascending,0,86
87,insertion,descending,0,3827
87,merge,descending,19.92,263
87,hybrid,descending,0,3827
87,insertion,random,19.96,1964.84
87,merge,random,0,454.48
87,hybrid,random,0,1960.98
88,insertion,ascending,0,87
88,merge,ascending,0,308
88,hybrid,ascending,0,87
88,insertion,descending,39.88,3915
88,merge,descending,0,268
88,hybrid,descending,0,3915
88,insertion,random,0,1989.44
88,merge,random,39.9,460.62
88,hybrid,random,0,1983.56
89,insertion,ascending,0,88
89,merge,ascending,0,313
89,hybrid,ascending,0,88
89,insertion,descending,0,4004
89,merge,descending,0,271
89,hybrid,descending,59.98,4004
89,insertion,random,0,2022.7
89,merge,random,20,467.18
89,hybrid,random,0,2065.62
90,insertion,ascending,0,89
90,merge,ascending,0,317
90,hybrid,ascending,0,89
90,insertion,descending,0,4094
90,merge,descending,0,275
90,hybrid,descending,39.16,4094
90,insertion,random,19.94,2099.12
90,merge,random,20.4,473.64
